body movements | C0026649
transmission of infectious disease | C0242781
disease transmissions | C0242781
diseases of transmission | C0242781
communicable disease transmissions | C0242781
infectious disease transmission | C0242781
transmitted | C0242781
transmissions | C0242781
of disease transmissions | C0242781
infection transmissions | C0242781
diseases of transmissions | C0242781
diseases transmissions | C0242781
transmission disease | C0242781
restrict diet | C0425422
diets restricted | C0425422
restrict diets | C0425422
dietary restrictions | C0425422
dietary restriction | C0425422
restricted diets | C0425422
restricted diet | C0425422
psychol stresses | C0038443
mental stress | C0038443
stress mental | C0038443
psychologic stress | C0038443
psychologic stresses | C0038443
life stresses | C0038443
psychological stress | C0038443
psychol stress | C0038443
psychological stresses | C0038443
stress psychol | C0038443
mental stresses | C0038443
life stress | C0038443
stress psychols | C0038443
cardiac conduction abnormalities | C1842820
tables | C1706073
table device component | C1706073
table | C1706073
table device components | C1706073
inactive disease | C0544452
disease remissions | C0544452
remissions | C0544452
dormant diseases | C0544452
remission | C0544452
remission phases | C0544452
dormant disease | C0544452
disease in remission | C0544452
remission phase | C0544452
disease remission | C0544452
in remission | C0544452
disease in remissions | C0544452
in remissions | C0544452
inactive diseases | C0544452
confidences | C1704726
confidence | C1704726
loss of sensations | C0028643
loss of sensation | C0028643
numbness sensations | C0028643
sensation loss | C0028643
numbness | C0028643
sensation losses | C0028643
numbness sensation | C0028643
mental confusion | C0009676
confusions | C0009676
confusion disorientation | C0009676
cognitive functions confusion | C0009676
confusion states | C0009676
bewilderment | C0009676
disorientation confusions | C0009676
confusion and disorientation | C0009676
daze | C0009676
disorientations | C0009676
confusion and disorientations | C0009676
confusional states | C0009676
muddled | C0009676
confusion | C0009676
mental confusions | C0009676
confusion state | C0009676
rndx confusions | C0009676
confusion disorientations | C0009676
confused | C0009676
disorientation | C0009676
confusion was observed | C0009676
feeling dazed | C0009676
dazing | C0009676
disorientation confusion | C0009676
cognitive functions confusions | C0009676
rndx confusion | C0009676
confusional state | C0009676
dazed state | C0009676
dazed states | C0009676
dazed | C0009676
ageing | C0001811
aging | C0001811
diabetes mellitus type 2's | C0011860
noninsulin dependent diabetes mellitus | C0011860
diabetes mellitus type 02s | C0011860
non-insulin dependent diabetes mellitus | C0011860
maturity onset diabetes mellituss | C0011860
non insulin dependent diabetes | C0011860
diabetes mellitus type ii | C0011860
type 2 diabetes mellitus non-insulin dependent | C0011860
non-insulin dependent diabetes mellituses | C0011860
diabetes mellitus type 2 | C0011860
adult onset diabetes | C0011860
niddm's | C0011860
diabetes mellitus type iuses | C0011860
ketosis-resistant diabetes mellituss | C0011860
maturity onset diabetes mellitus | C0011860
niddm | C0011860
type 2 diabetes mellitus non-insulin dependents | C0011860
type ii diabetes mellituss | C0011860
t2d | C0011860
non-insulin dependent diabetes | C0011860
diabetes type 2 | C0011860
t2ds | C0011860
aodm | C0011860
adult onset diabetes mellituses | C0011860
noninsulin dependent diabetes mellituss | C0011860
diabetes mellitus type 02's | C0011860
diabetes type ii | C0011860
ketosis resistant diabetes | C0011860
adult-onset diabetes mellituses | C0011860
ncdmms | C0011860
adult-onset diabetes mellituss | C0011860
diabetes mellitus type iis | C0011860
adult onset diabetes mellituss | C0011860
non-insulin dependent diabetes mellituss | C0011860
aodm's | C0011860
diabetes type iis | C0011860
mod | C0011860
diabetes mellitus -adult onset | C0011860
diabetes mellitus non insulin dependent | C0011860
noninsulin dependent diabetes mellituses | C0011860
maturity-onset diabetes | C0011860
diabetes type iuss | C0011860
aodms | C0011860
diabetes mellitus non insulin dependents | C0011860
ncdmm | C0011860
type ii diabetes mellituses | C0011860
noninsulin-dependent diabetes mellitus | C0011860
slow-onset diabetes mellitus | C0011860
adult-onset diabetes mellitus | C0011860
diabetes mellitus type iuss | C0011860
maturity-onset diabetes mellituses | C0011860
diabetes type iuses | C0011860
type ii diabetes | C0011860
stable diabetes mellituss | C0011860
slow-onset diabetes mellituss | C0011860
diabetes mellitus non insulin-deps | C0011860
stable diabetes mellitus | C0011860
niddms | C0011860
diabetes mellitus type 02 | C0011860
diabetes | C0011860
diabetes type 2's | C0011860
diabetes mellitus maturity onset | C0011860
type 2 diabetes mellitus | C0011860
late onset diabetes | C0011860
diabetes mellitus maturity onsets | C0011860
diabetes mellitus non insulin-dep | C0011860
type 2 diabetes mellituses | C0011860
mody | C0011860
mod's | C0011860
mods | C0011860
adult-onset diabetes | C0011860
type 2 diabetes mellituss | C0011860
noninsulin-dependent diabetes mellituss | C0011860
slow-onset diabetes mellituses | C0011860
type ii diabetes mellitus | C0011860
diabetes mellitus -adult onsets | C0011860
maturity onset diabetes | C0011860
ketosis-resistant diabetes mellituses | C0011860
noninsulin-dependent diabetes mellituses | C0011860
type 2 diabetes | C0011860
maturity onset diabetes mellituses | C0011860
maturity-onset diabetes mellituss | C0011860
diabete type 2 | C0011860
diabete type 2's | C0011860
maturity-onset diabetes mellitus | C0011860
non-insulin-dependent diabetes mellitus | C0011860
non-insulin-dependent diabetes mellituss | C0011860
non-insulin-dependent diabetes mellituses | C0011860
adult onset diabetes mellitus | C0011860
diabetes mellitus non-insulin-dependent | C0011860
stable diabetes mellituses | C0011860
ketosis-resistant diabetes mellitus | C0011860
dysfunction thyroids | C0348024
thyroid dysfunctions | C0348024
dysfunction thyroid | C0348024
thyroid dysfunction | C0348024
adverse event associated with the gastrointestinal system | C1559265
adverse event associated with the gastrointestinal systems | C1559265
gastrointestinal | C1559265
adverse event associated with gastrointestinal | C1559265
cocaine depend-unspec | C0600427
cocaine dependence | C0600427
cocaine type drug dependence | C0600427
cocaine dependencies | C0600427
cocaine addictions | C0600427
cocaine addiction | C0600427
cocaine dependency | C0600427
cocaine dependences | C0600427
cocaine depend-unspecs | C0600427
addiction cocaine | C0600427
cocaine type drug dependences | C0600427
dependence cocaine | C0600427
dependence on cocaine | C0600427
fibromyalgia fibromyositis syndromes | C0016053
muscular rheumatism | C0016053
fms | C0016053
fibromyalgia syndromes | C0016053
muscular rheumatisms | C0016053
fmss | C0016053
myofascial pain syndrome | C0016053
mpd syndromes | C0016053
mpd syndrome | C0016053
fms's | C0016053
fibromyositis | C0016053
fibromyositides | C0016053
myofascial pain dysfunction syndromes | C0016053
myofascial pain dysfunction syndrome | C0016053
fibromyositis fibromyalgia syndrome | C0016053
fm's | C0016053
syndrome fibromyalgia | C0016053
fibrositis unspecified | C0016053
fibromyalgia syndrome | C0016053
diffuse myofascial pain syndrome | C0016053
pain syndrome myofascial | C0016053
fibromyalgia fibromyositis syndrome | C0016053
fibrositides | C0016053
fibromyalgia | C0016053
fibromyalgia -retired-s | C0016053
syndrome fibromyalgias | C0016053
fibromyositis fibromyalgia syndromes | C0016053
myofacial pain dysfunction syndrome | C0016053
fibromyalgia -retired- | C0016053
fibrositis | C0016053
myofascial pain syndromes | C0016053
fibromyalgias | C0016053
diffuse myofascial pain syndromes | C0016053
myofacial pain dysfunction syndromes | C0016053
dual psychiatric diagnosis | C0206308
dual diagnose | C0206308
psychiatric dual diagnosis | C0206308
diagnosis duals | C0206308
dual diag psychiatric | C0206308
dual diags | C0206308
diagnosis dual | C0206308
psychiatric dual diag | C0206308
psychiatric dual diags | C0206308
psychiatric diag duals | C0206308
dual diagnosis | C0206308
dual diagnosis psychiatry | C0206308
dual diagnosis psychiatries | C0206308
dual diagnoses | C0206308
psychiatric dual diagnoses | C0206308
dual psychiatric diagnoses | C0206308
dual diag | C0206308
psychiatric diag dual | C0206308
exam neurols | C0027853
assessing neurological statuses | C0027853
neurologic examination | C0027853
neurologic measurement | C0027853
neurologic examinations | C0027853
exam neurol | C0027853
examination of neurological systems | C0027853
neurological examinations | C0027853
examination neurologic | C0027853
neurological assessments | C0027853
assessing neurological status | C0027853
neurological examination | C0027853
assessing neurological performance | C0027853
assessments neurological | C0027853
neurological assessment | C0027853
exam neurol's | C0027853
neuro exams | C0027853
neurological exams | C0027853
neuro exam | C0027853
neurol exam | C0027853
assessing neurological performances | C0027853
neurologic measurements | C0027853
assessment neurological | C0027853
neurological exam | C0027853
neurol exams | C0027853
examination of neurological system | C0027853
low blood glucoses | C0020615
hypoglycemic disorders | C0020615
low blood sugar level | C0020615
hypoglycaemic syndromes | C0020615
hypoglycaemias | C0020615
hypoglycaemic disorder | C0020615
hypoglycemia unspecified | C0020615
low blood sugar levels | C0020615
low blood glucose | C0020615
hypoglycemic disorder | C0020615
hypoglycaemic disorders | C0020615
hypoglycemic syndromes | C0020615
hypoglycemias | C0020615
hypoglycemia | C0020615
hypoglycaemia | C0020615
low blood sugars | C0020615
hypoglycaemic syndrome | C0020615
low blood sugar | C0020615
hypoglycemic syndrome | C0020615
hypoglycaemia unspecified | C0020615
therapy adverse effects | C0879626
side effects | C0879626
treatment harmful effects | C0879626
treatment side effects | C0879626
adverse effects | C0879626
treatment adverse effects | C0879626
adverse effect | C0879626
side effect | C0879626
treatment adverse effect | C0879626
therapy adverse effect | C0879626
outs work | C0041674
without employments | C0041674
unemployed | C0041674
unemployment | C0041674
joblessness | C0041674
work outs | C0041674
out of works | C0041674
out of work | C0041674
jobless | C0041674
outs works | C0041674
out work | C0041674
without employment | C0041674
work out | C0041674
out workings | C0041674
out working | C0041674
out works | C0041674
kidney failure | C0341697
impaired renal function | C0341697
kidney failures | C0341697
renal impairment | C0341697
impairments renal | C0341697
renal impairments | C0341697
impaired renal functions | C0341697
function impaired renal | C0341697
renal failures | C0341697
impairment renal | C0341697
renal failure | C0341697
mentulagra | C0033117
priapism | C0033117
pathologic erections | C0033117
priapisms | C0033117
pathologic erection | C0033117
chronic erections | C0033117
chronic erection | C0033117
body change weight | C0005911
body change weights | C0005911
weight change | C0005911
change weight | C0005911
change weights | C0005911
body weight change | C0005911
weight changes | C0005911
body weight changes | C0005911
memory work | C0025265
short-term memory | C0025265
memory works | C0025265
immediate memory | C0025265
memory working | C0025265
immediate memories | C0025265
working memory | C0025265
memory workings | C0025265
short term memories | C0025265
shortterm memory | C0025265
shortterm memories | C0025265
working memories | C0025265
memory short term | C0025265
memory short terms | C0025265
memory short-term | C0025265
short-term memories | C0025265
short term memory | C0025265
diabetes mellituss | C0011849
disorder diabetes mellituses | C0011849
diabetes | C0011849
dms | C0011849
unspecified diabetes mellituss | C0011849
unspecified diabetes mellituses | C0011849
diabetes mellitus | C0011849
unspecified diabetes mellitus | C0011849
diabete mellituss | C0011849
disorder diabetes mellitus | C0011849
dm | C0011849
diabete mellitus | C0011849
diabete mellituses | C0011849
dm's | C0011849
disorder diabetes mellituss | C0011849
diabetes mellituses | C0011849
psychiatric disorder | C0004936
psychiatric illnesses | C0004936
psychiatric diseases | C0004936
mental diss | C0004936
psychological disorders | C0004936
disorder mental health | C0004936
mental disorder | C0004936
psychiatric disorders | C0004936
psychological dysfunctions | C0004936
mental dis's | C0004936
mental dysfunction | C0004936
disorder health mental | C0004936
mental dis | C0004936
psychiatric disease | C0004936
mental disease | C0004936
psychiatric illness | C0004936
disorder psychological | C0004936
disorder psychiatric | C0004936
psychological dysfunction | C0004936
mental disorder disorders | C0004936
mental illness | C0004936
illnesses psychiatric | C0004936
unspecified mental disorders | C0004936
unspecified mental disorder | C0004936
dysfunctions psychological | C0004936
diseases mental | C0004936
mental disorder disorder | C0004936
psych | C0004936
disease mental | C0004936
mental diseases | C0004936
mental dysfunctions | C0004936
illness psychiatric | C0004936
mental illnesses | C0004936
mental health disorder | C0004936
mental health disorders | C0004936
mental di's | C0004936
disorder mental | C0004936
psychological disorder | C0004936
dysfunctions mental | C0004936
mental disorders | C0004936
mental di | C0004936
behavior disorder | C0004930
behavioral disorders | C0004930
behaviour disorder | C0004930
behavior diss | C0004930
disorder behaviors | C0004930
behavior dis's | C0004930
behavior di's | C0004930
disorder behavior | C0004930
behavioral disorder | C0004930
behavior di | C0004930
behavioural disorder | C0004930
behavior disorders | C0004930
behavioural disorders | C0004930
behaviour disorders | C0004930
behavior dis | C0004930
puerperal depression | C0221074
post partum depression | C0221074
post partum depressions | C0221074
postpartum depressions | C0221074
post-partum depressions | C0221074
post-natal depressions | C0221074
postnatal depression | C0221074
post natal depressions | C0221074
post-partum depression | C0221074
depression postnatal | C0221074
depression puerperal | C0221074
postpartum depression | C0221074
post natal depression | C0221074
post-natal depression | C0221074
puerperal depressions | C0221074
postnatal blues | C0221074
depression postpartum | C0221074
postnatal depressive disorders | C0221074
postnatal depressive disorder | C0221074
postnatal depressions | C0221074
lost appetite | C0003123
appetite loss | C0003123
anorectics | C0003123
loss of appetite | C0003123
appetite losses | C0003123
no appetite | C0003123
lack of appetites | C0003123
lack of appetite | C0003123
anorexic | C0003123
loss of appetites | C0003123
no appetites | C0003123
anorexia | C0003123
anorectic | C0003123
anorexics | C0003123
anorexias | C0003123
lost appetites | C0003123
sodium serum plasma or whole bloods | C0523891
sodium serums | C0523891
serum sodium ion test | C0523891
assay of serum sodiums | C0523891
assay of serum sodium | C0523891
serum sodium level test | C0523891
serum sodium measurements | C0523891
serum sodium level tests | C0523891
sodium serum | C0523891
serum sodium ion tests | C0523891
serum sodium levels | C0523891
serum sodium measurement | C0523891
sodium serum plasma or whole blood | C0523891
sodium sera | C0523891
serum sodium | C0523891
serum sodium level | C0523891
serum sodiums | C0523891
overdose of drug | C0029944
drug overdose | C0029944
drug overdoses | C0029944
overdose | C0029944
overdose of drugs | C0029944
overdoses | C0029944
feeling heavy | C0581912
heavy feeling | C0581912
sensation of heaviness | C0581912
feels heavy | C0581912
feels heavies | C0581912
feel heavy | C0581912
heaviness sensations | C0581912
feel heavies | C0581912
heaviness sensation | C0581912
heavy feelings | C0581912
feeling of heaviness | C0581912
feeling heavies | C0581912
cognition therapies | C0009244
cognition ther's | C0009244
cognitive behavioural therapy | C0009244
cognitive behavior ther's | C0009244
rnox cognition | C0009244
cognitive behavior modifications | C0009244
cognitive behaviour therapy | C0009244
behaviour cognitive therapy | C0009244
cognitive thers | C0009244
cognition ther | C0009244
cognitive behavior modification | C0009244
cognitive therapy approach | C0009244
ther cognitive | C0009244
cognitive behavior therapy | C0009244
cts | C0009244
behaviour cognitive therapies | C0009244
cognitive ther's | C0009244
cognitive-behavioral therapy approach | C0009244
cognitive behavior ther | C0009244
cognitive behavioral therapies | C0009244
therapy behavior cognitive | C0009244
cognitive-behaviour therapies | C0009244
cognitive-behavioural therapy approach | C0009244
cognitive psychotherapies | C0009244
cognitive psychother | C0009244
psychother cognitive | C0009244
ct | C0009244
behavioral cognitive therapies | C0009244
cognitive approach | C0009244
cognitive and behavioral therapies | C0009244
cognitive therapies | C0009244
cbt's | C0009244
cognitive and behavioural therapy | C0009244
cognitive behaviour therapies | C0009244
ther cognitions | C0009244
cognition therapy | C0009244
cognitive therapy approaches | C0009244
cognitive behavioural therapies | C0009244
cognition thers | C0009244
cognitive and behavioral therapy | C0009244
cognitive-behavioral therapy approaches | C0009244
rnox cognitions | C0009244
cognitive-behaviour therapy | C0009244
cognitive behavioral therapy | C0009244
ther cognitive behavior | C0009244
behavior ther cognitive | C0009244
cognitive behavior thers | C0009244
cbts | C0009244
cognitive psychotherapy | C0009244
cognitive psychothers | C0009244
cbt | C0009244
behavioral cognitive therapy | C0009244
ther cognitive behaviors | C0009244
cognitive ther | C0009244
cognitive therapy | C0009244
therapy cognitive | C0009244
cognitive-behavioural therapy approaches | C0009244
cognitive behavior therapies | C0009244
ct's | C0009244
cognitive and behavioural therapies | C0009244
cognitive approaches | C0009244
ther cognition | C0009244
device used | C1298904
concentration | C0086045
mental concentrations | C0086045
mental concentration | C0086045
concentrations | C0086045
attention concentration | C0086045
attention concentrations | C0086045
mindfulness | C0086045
szs | C0036572
fit'ss | C0036572
seizure | C0036572
convulsion | C0036572
fits | C0036572
fit's | C0036572
fit | C0036572
fitted | C0036572
seizure d | C0036572
fit'ses | C0036572
seizures | C0036572
sz's | C0036572
convulsions | C0036572
seizure ds | C0036572
sz | C0036572
seizure d's | C0036572
persistent pulmonary hypertension | C1135361
persistent pulmonary hypertensions | C1135361
alcohol drugs uses | C0237123
aod use | C0237123
alcohol or other drugs uses | C0237123
alcohol and other drug use | C0237123
substance use | C0237123
substances uses | C0237123
alcohol drug use | C0237123
alcohol and other drug uses | C0237123
drug alcohol use | C0237123
aod uses | C0237123
drug alcohol uses | C0237123
substances use | C0237123
alcohol or other drugs use | C0237123
substance uses | C0237123
alcohol drug uses | C0237123
alcohol drugs use | C0237123
general anesthesia | C0002915
general anesthesia procedure | C0002915
anaesthetic general | C0002915
anesthesia generals | C0002915
general anesthetics | C0002915
ga's | C0002915
general anaesthetics | C0002915
ga | C0002915
anesthesia general | C0002915
general anesthesia procedures | C0002915
general anesthetic | C0002915
gas | C0002915
anaesthetic generals | C0002915
general anesthesias | C0002915
general anaesthetic | C0002915
general anaesthesia | C0002915
general anaesthesias | C0002915
erectile dysfunction | C0242350
erection failure | C0242350
impotent | C0242350
male erectile dysfunctions | C0242350
ed | C0242350
male sexual impotence | C0242350
dysfunctioning erectile | C0242350
eds | C0242350
failure of erections | C0242350
male erectile disorder | C0242350
erection dysfunctions | C0242350
penile erection impairment | C0242350
dysfunction erections | C0242350
failure of erection | C0242350
male impotence | C0242350
impotence | C0242350
penile erection impairments | C0242350
erectile disturbances | C0242350
erection failures | C0242350
erection dysfunction | C0242350
dysfunction erection | C0242350
dysfunction erectile | C0242350
male erectile disorders | C0242350
ed's | C0242350
erectile dysfunctions | C0242350
male erectile dysfunction | C0242350
sexual impotence | C0242350
erectile disturbance | C0242350
carcinosis | C0205699
carcinomatoses | C0205699
carcinomatosis | C0205699
disseminated carcinomatosis | C0205699
disseminated carcinomatoses | C0205699
carcinoses | C0205699
adjustment disorder | C0001546
reactive di's | C0001546
adjustment di | C0001546
brief situational non-psychotic disorders | C0001546
brief situational non-psychotic disorder | C0001546
adjustment diss | C0001546
adjustment dis's | C0001546
adjustment dis | C0001546
reactive disorders | C0001546
adjustment disorders | C0001546
reactive dis | C0001546
reactive dis's | C0001546
reactive disorder | C0001546
reactive diss | C0001546
adjustment di's | C0001546
reactive di | C0001546
high very | C0442804
very high | C0442804
very highs | C0442804
radiation | C1522449
irradiation | C1522449
irradiate | C1522449
therapeutic radiologies | C1522449
therapeutic radiology procedure | C1522449
therapeutic radiology procedures | C1522449
cancer radiotherapies | C1522449
radiotherapy | C1522449
therapeutic radiology for cancer treatments | C1522449
therapy radiation | C1522449
radiother | C1522449
cancer radiotherapy | C1522449
radiations therapies | C1522449
therapeutic radiology for cancer treatment | C1522449
radiation therapies | C1522449
radiothers | C1522449
radiotherapies | C1522449
radiations | C1522449
irradiated | C1522449
radiations therapy | C1522449
radiotherapeutics | C1522449
radiation therapy | C1522449
irradiations | C1522449
therapeutic radiology | C1522449
rts | C1522449
rt | C1522449
therapy radiations | C1522449
rt's | C1522449
primary hypopituitarisms | C0242343
deficient secretion of all pituitary hormones | C0242343
panhypopituitarism | C0242343
primary hypopituitarism | C0242343
identification psychols | C0020792
identification psychol | C0020792
identification | C0020792
psychological identification | C0020792
psychological identifications | C0020792
identifications | C0020792
psychological therapies | C0841584
psychological therapy | C0841584
diabetic nerve damage | C0011882
neuropathy diabetic | C0011882
diabetes mellitus with neuropathy | C0011882
diabetes mellitus with neuropathies | C0011882
neuropathy diabetics | C0011882
diabetic nerve damages | C0011882
diabetes with neurological manifestations | C0011882
diabetes mellitus with neurological manifestations | C0011882
diabetes mellitus with neurological manifestation | C0011882
diabetic neuropathy | C0011882
diabetic neuropathies | C0011882
functions visual | C0042789
visual perceptions | C0042789
sense of sights | C0042789
seeing functions | C0042789
vision | C0042789
seeing | C0042789
see's | C0042789
sensory visual perception | C0042789
ocular vision | C0042789
sight | C0042789
visual function | C0042789
sensory visual perceptions | C0042789
functions visuals | C0042789
sights | C0042789
see | C0042789
oculars | C0042789
visual perception | C0042789
sense of sight | C0042789
sees | C0042789
ocular visions | C0042789
ocular | C0042789
visions | C0042789
visual functions | C0042789
hypotension arterials | C0020649
drop of blood pressure | C0020649
drop of blood pressures | C0020649
lowered blood pressures | C0020649
blood drop pressure | C0020649
blood pressure lower | C0020649
bp lower | C0020649
dropped blood pressures | C0020649
blood lowers pressures | C0020649
blood dropping pressures | C0020649
low blood pressure | C0020649
drop in blood pressures | C0020649
low bp | C0020649
hypotension arterial | C0020649
blood lowered pressures | C0020649
hypopieses | C0020649
blood dropping pressure | C0020649
vascular hypotensive disorder | C0020649
lower blood pressure | C0020649
blood falling pressure | C0020649
blood pressure drop arterials | C0020649
lower blood pressures | C0020649
blood drop pressures | C0020649
fall in blood pressure | C0020649
blood falling pressures | C0020649
blood falls pressure | C0020649
hypopiesis | C0020649
hypotension was observed | C0020649
drop in blood pressure | C0020649
lowered blood pressure | C0020649
blood pressure drops | C0020649
blood lowing pressure | C0020649
blood decreasing pressures | C0020649
arterial hypotension | C0020649
blood lowers pressure | C0020649
vascular hypotension | C0020649
decreased blood pressure | C0020649
blood pressure dropped | C0020649
blood lowing pressures | C0020649
arterial blood pressure decreased | C0020649
blood pressure low | C0020649
bp lowered | C0020649
blood drops pressure | C0020649
blood falls pressures | C0020649
bp lowers | C0020649
hypotensions | C0020649
vascular hypotensive disorders | C0020649
low bps | C0020649
low bp's | C0020649
blood decreasing pressure | C0020649
blood pressure decreased | C0020649
blood drops pressures | C0020649
blood lowered pressure | C0020649
arterial hypotensions | C0020649
vascular hypotensions | C0020649
blood pressure drop | C0020649
blood pressure lowers | C0020649
bp fell | C0020649
low blood pressures | C0020649
fall in blood pressures | C0020649
decreased blood pressures | C0020649
dropped blood pressure | C0020649
hypotension | C0020649
blood pressure lows | C0020649
pressure arterial decreased | C0020649
blood pressure drop arterial | C0020649
major depressive di | C1269683
major depressive di's | C1269683
major depressive disorders | C1269683
mdd | C1269683
mdds | C1269683
mdd's | C1269683
major depressive dis | C1269683
major depressive dis's | C1269683
major depressions | C1269683
depressive dis majors | C1269683
major depression | C1269683
major depressive illnesses | C1269683
depressive dis major | C1269683
major depressive illness | C1269683
depressive disorder majors | C1269683
depressive disorder major | C1269683
major depressive diss | C1269683
major depressive disorder | C1269683
drowsinessiss | C0013144
drowsy | C0013144
drowsinessises | C0013144
drowsinessess | C0013144
drowsinesss | C0013144
drowsiness was observed | C0013144
drowsinessides | C0013144
drowsiness | C0013144
sleepy | C0013144
sleepiness | C0013144
drowsinesses | C0013144
somnolence | C0013144
drowsinesseses | C0013144
giving birth | C0005615
childbirths | C0005615
birth | C0005615
childbirth | C0005615
parturitions | C0005615
parturition | C0005615
births | C0005615
giving births | C0005615
high-pitched voice | C0241703
high pitched voice | C0241703
high pitch voice | C0241703
high pitched voices | C0241703
high pitch | C0241703
high pitch voices | C0241703
high-pitched voices | C0241703
high pitched | C0241703
high pitches | C0241703
high-pitched | C0241703
male genders | C0024554
male sex | C0024554
sex male | C0024554
male | C0024554
ms | C0024554
male structures | C0024554
male structure | C0024554
males | C0024554
male individual | C0024554
m | C0024554
male sexes | C0024554
human males | C0024554
sex males | C0024554
human male | C0024554
mans | C0024554
male individuals | C0024554
m's | C0024554
male gender | C0024554
men | C0024554
man | C0024554
viral pneumonitis | C0032310
pneumonia viral | C0032310
viral pneumonitides | C0032310
viral pneumonia | C0032310
viral pneumoniae | C0032310
viral pneumonias | C0032310
infusion techniques | C0574032
infusion technique | C0574032
infusion procedures | C0574032
infusion | C0574032
infusion procedure | C0574032
infusions | C0574032
dt | C0013216
chemother | C0013216
medications therapies | C0013216
pharmacothers | C0013216
pharmacological treatments | C0013216
drug ther's | C0013216
therapy medication | C0013216
treatment with medication | C0013216
pharmacotherapeutics | C0013216
ther drug | C0013216
chemothers | C0013216
drug therapy treatments | C0013216
medication therapies | C0013216
medication therapy | C0013216
pharmacother | C0013216
drug therapy | C0013216
drug therapy treatment | C0013216
treatment with medications | C0013216
pharmacotherapy | C0013216
drug therapies | C0013216
dt's | C0013216
chemotherapy procedures | C0013216
pharmacological treatment | C0013216
chemotherapies | C0013216
drugs therapies | C0013216
chemotherapy | C0013216
dts | C0013216
medications therapy | C0013216
therapy medications | C0013216
